run_id,run_date,cluster_title,article_count,retained_evidence_count,confidence_label,dominant_market,dominant_financing_pattern,cluster_status,synthesis_participation,source_diversity,lender_diversity,dominant_source_share
20260702-000820-f445e33a,2026-07-02,Institutional recap over expansion,2,2,Early Signal,California,recap,expanding,,2,0,0.5
20260703-000640-3892dc56,2026-07-03,Institutional recap over expansion,2,2,Early Signal,California,refinancing,stable,,2,1,0.5
20260704-000526-5ae56ed2,2026-07-04,Institutional recap over expansion,1,1,Source-Concentrated,California,recap,fading,,1,0,1.0
20260705-000252-290c6e5e,2026-07-05,Institutional recap over expansion,1,1,Source-Concentrated,California,recap,stable,,1,0,1.0
20260706-000644-f35b7e56,2026-07-06,Institutional recap over expansion,1,1,Source-Concentrated,California,recap,stable,,1,0,1.0
20260707-000948-c1f40a65,2026-07-07,Institutional recap over expansion,5,5,Broadly Confirmed,California,recap,expanding,,4,2,0.4
20260707-235900-c117bd3d,2026-07-07,Institutional recap over expansion,0,0,Low Confidence,,,fading,,0,0,0
20260709-001033-8807486d,2026-07-09,Institutional recap over expansion,0,0,Low Confidence,,,inactive,,0,0,0
20260710-000650-d7384633,2026-07-10,Institutional recap over expansion,7,7,Moderate Signal,New York City / New York,refinancing,newly emerging,,2,3,0.571
20260710-235937-714bc49a,2026-07-10,Institutional recap over expansion,1,1,Source-Concentrated,Florida,refinancing,fading,,1,1,1.0
20260711-235545-77ac1ce4,2026-07-11,Institutional recap over expansion,1,1,Source-Concentrated,Florida,refinancing,stable,,1,1,1.0
20260712-235518-9da73cee,2026-07-12,Institutional recap over expansion,1,1,Source-Concentrated,Florida,refinancing,stable,,1,1,1.0
20260713-235520-9dd8478a,2026-07-13,Institutional recap over expansion,2,2,Source-Concentrated,New York,recapitalization,expanding,,1,2,1.0
20260714-235420-7185f37b,2026-07-14,Institutional recap over expansion,2,2,Source-Concentrated,Texas,refinancing,stable,,1,1,1.0
20260715-235936-5ac8e905,2026-07-15,Institutional recap over expansion,1,1,Source-Concentrated,Miami / Florida,refinancing,fading,,1,1,1.0
20260519-021700-3e3a74df,2026-05-19,JV / partnership activity observed,7,7,Broadly Confirmed,New York,,newly emerging,,6,1,0.286
20260520-040606-6613d3b9,2026-05-20,JV / partnership activity observed,6,6,Broadly Confirmed,New York,,fading,,5,3,0.333
20260520-051844-b14f8dba,2026-05-20,JV / partnership activity observed,6,6,Broadly Confirmed,New York,,stable,,5,3,0.333
20260520-230154-ca46e1ee,2026-05-20,JV / partnership activity observed,5,5,Broadly Confirmed,New York,,fading,,4,0,0.4
20260521-230148-97d5f8bd,2026-05-21,JV / partnership activity observed,6,6,Broadly Confirmed,National,,expanding,,4,0,0.333
20260522-230155-fb3b56b2,2026-05-22,JV / partnership activity observed,3,3,Moderate Signal,National,,fading,,3,0,0.333
20260523-230152-45df883f,2026-05-23,JV / partnership activity observed,5,5,Broadly Confirmed,National,,expanding,,4,0,0.4
20260524-230204-750df6c3,2026-05-24,JV / partnership activity observed,4,4,Moderate Signal,National,,fading,,4,0,0.25
20260525-230212-45b2fe12,2026-05-25,JV / partnership activity observed,2,2,Early Signal,New York,,fading,,2,0,0.5
20260526-060516-8f6cea4b,2026-05-26,JV / partnership activity observed,2,2,Early Signal,New York,,stable,,2,0,0.5
20260526-081038-35a22dfb,2026-05-26,JV / partnership activity observed,2,2,Early Signal,New York,,stable,,2,0,0.5
20260526-230211-c37354de,2026-05-26,JV / partnership activity observed,4,4,Moderate Signal,Sun Belt,,expanding,,4,0,0.25
20260527-013618-38446781,2026-05-27,JV / partnership activity observed,4,4,Moderate Signal,Sun Belt,,stable,,4,0,0.25
20260527-230207-4be4208e,2026-05-27,JV / partnership activity observed,8,8,Broadly Confirmed,California,,expanding,,6,0,0.25
20260528-230155-27f9735b,2026-05-28,JV / partnership activity observed,9,9,Broadly Confirmed,New York,,expanding,,7,1,0.333
20260529-230138-14a22af3,2026-05-29,JV / partnership activity observed,9,9,Broadly Confirmed,California,,stable,,7,0,0.222
20260530-230208-ccf8785d,2026-05-30,JV / partnership activity observed,10,10,Broadly Confirmed,California,,expanding,,8,0,0.2
20260531-230156-2ca508a0,2026-05-31,JV / partnership activity observed,9,9,Broadly Confirmed,Los Angeles,,fading,,7,0,0.222
20260601-003555-0e25506b,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Los Angeles,,stable,,7,0,0.222
20260601-012139-c701e5e3,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Los Angeles,,stable,,7,0,0.222
20260601-020308-c84a5578,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Los Angeles,,stable,,7,0,0.222
20260601-023138-a39ed519,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Los Angeles,,stable,,7,0,0.222
20260601-054634-41ca5227,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Los Angeles,,stable,,7,0,0.222
20260601-064806-993581e0,2026-06-01,JV / partnership activity observed,7,7,Broadly Confirmed,Santa Monica / California,,fading,,6,0,0.286
20260601-072833-c2587107,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Northern Virginia / Virginia,,expanding,,7,0,0.222
20260601-230146-450c13c8,2026-06-01,JV / partnership activity observed,9,9,Broadly Confirmed,Riverside / California,,stable,,7,0,0.222
20260602-010310-89150adf,2026-06-02,JV / partnership activity observed,9,9,Broadly Confirmed,Riverside / California,,stable,,7,0,0.222
20260602-021112-26633af2,2026-06-02,JV / partnership activity observed,9,9,Broadly Confirmed,Riverside / California,,stable,,7,0,0.222
20260602-040308-43dadaf3,2026-06-02,JV / partnership activity observed,9,9,Broadly Confirmed,Riverside / California,,stable,,7,0,0.222
20260602-045446-a07523c4,2026-06-02,JV / partnership activity observed,9,9,Broadly Confirmed,Riverside / California,,stable,,7,0,0.222
20260604-000136-6cfa7913,2026-06-04,JV / partnership activity observed,4,4,Moderate Signal,San Francisco / California,,fading,,4,0,0.25
20260604-081413-1726a3a1,2026-06-04,JV / partnership activity observed,4,4,Moderate Signal,San Francisco / California,,stable,,4,0,0.25
20260604-230201-dcd2cc8d,2026-06-04,JV / partnership activity observed,4,4,Moderate Signal,Los Angeles / California,,stable,,4,1,0.25
20260605-114113-2df19a72,2026-06-05,JV / partnership activity observed,4,4,Moderate Signal,Los Angeles / California,,stable,,4,1,0.25
20260605-230148-ea958470,2026-06-05,JV / partnership activity observed,3,3,Moderate Signal,Houston / Texas,,fading,,3,0,0.333
20260606-081908-38f3e371,2026-06-06,JV / partnership activity observed,3,3,Moderate Signal,Houston / Texas,,stable,,3,0,0.333
20260606-230329-da6be778,2026-06-06,JV / partnership activity observed,4,4,Moderate Signal,Houston / Texas,,expanding,,3,0,0.5
20260607-101231-ed44acbd,2026-06-07,JV / partnership activity observed,4,4,Moderate Signal,Houston / Texas,,stable,,3,0,0.5
20260607-230152-0a671b17,2026-06-07,JV / partnership activity observed,5,5,Moderate Signal,Texas,,expanding,,3,0,0.6
20260608-143859-a74ae896,2026-06-08,JV / partnership activity observed,6,6,Broadly Confirmed,Texas,,expanding,,4,1,0.5
20260608-230157-81fea293,2026-06-08,JV / partnership activity observed,7,7,Broadly Confirmed,New York,,expanding,,7,4,0.143
20260609-105010-d9b80e3f,2026-06-09,JV / partnership activity observed,7,7,Broadly Confirmed,New York,,stable,,7,4,0.143
20260610-115707-124173e2,2026-06-10,JV / partnership activity observed,6,6,Broadly Confirmed,New York,,fading,,5,3,0.333
20260611-001715-f4703e93,2026-06-11,JV / partnership activity observed,7,7,Broadly Confirmed,Miami / Florida,,expanding,,5,1,0.429
20260612-002041-06ed6325,2026-06-12,JV / partnership activity observed,7,7,Moderate Signal,California,,stable,,4,4,0.571
20260613-002146-039f5a36,2026-06-13,JV / partnership activity observed,6,6,Broadly Confirmed,Miami / Florida,,fading,,5,1,0.333
20260614-000904-0228c830,2026-06-14,JV / partnership activity observed,6,6,Broadly Confirmed,Miami / Florida,,stable,,5,1,0.333
20260615-001053-87d3b62d,2026-06-15,JV / partnership activity observed,7,7,Broadly Confirmed,Miami / Florida,,expanding,,5,1,0.286
20260616-014320-175168dd,2026-06-16,JV / partnership activity observed,8,8,Broadly Confirmed,Miami / Florida,,expanding,,5,1,0.375
20260617-001813-7e028cca,2026-06-17,JV / partnership activity observed,9,9,Broadly Confirmed,Miami / Florida,,expanding,,6,2,0.333
20260618-001725-265595f4,2026-06-18,JV / partnership activity observed,4,4,Moderate Signal,Miami / Florida,,fading,,3,1,0.5
